condition,item,stimulus,target,contains_target,sentence,question,answer_F,answer_J,correct
p,1,Filler_P_1.wav,CHIPS,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
p,2,Filler_P_2.wav,WINDED,N,This is a filler item.,,,,
p,3,Filler_P_3.wav,SECRET,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
p,4,Filler_P_4.wav,STRANGE,N,This is a filler item.,,,,
p,5,Filler_P_5.wav,COUNCIL,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
p,6,Filler_P_6.wav,CHEDDAR,N,This is a filler item.,,,,
p,7,Filler_P_7.wav,SERVICE,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
p,8,Filler_P_8.wav,PERIOD,N,This is a filler item.,,,,
p,9,Filler_P_9.wav,HALLWAY,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
p,10,Filler_P_10.wav,BACKPACK,N,This is a filler item.,,,,
np,1,Filler_NP_1.wav,RESULT,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,2,Filler_NP_2.wav,BEFORE,Y,This is a filler item.,,,,
np,3,Filler_NP_3.wav,CHANGE,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,4,Filler_NP_4.wav,NEVER,Y,This is a filler item.,,,,
np,5,Filler_NP_5.wav,ADMIRING,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,6,Filler_NP_6.wav,CLASS,Y,This is a filler item.,,,,
np,7,Filler_NP_7.wav,VISA,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,8,Filler_NP_8.wav,ADDITION,Y,This is a filler item.,,,,
np,9,Filler_NP_9.wav,LIVED,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,10,Filler_NP_10.wav,HOUR,Y,This is a filler item.,,,,
np,11,Filler_NP_11.wav,METHOD,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,12,Filler_NP_12.wav,ACTS,Y,This is a filler item.,,,,
np,13,Filler_NP_13.wav,LAW,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,14,Filler_NP_14.wav,NOTE,N,This is a filler item.,,,,
np,15,Filler_NP_15.wav,GLASSES,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,16,Filler_NP_16.wav,CHECK,N,This is a filler item.,,,,
np,17,Filler_NP_17.wav,COURT,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,18,Filler_NP_18.wav,CHAIR,N,This is a filler item.,,,,
np,19,Filler_NP_19.wav,SUNDAY,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,20,Filler_NP_20.wav,WEIGHT,N,This is a filler item.,,,,
np,21,Filler_NP_21.wav,APPLES,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,22,Filler_NP_22.wav,LATER,N,This is a filler item.,,,,
np,23,Filler_NP_23.wav,SANDALS,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,24,Filler_NP_24.wav,TICKETS,N,This is a filler item.,,,,
np,25,Filler_NP_25.wav,CASH,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
np,26,Filler_NP_26.wav,LETTER,N,This is a filler item.,,,,
np,27,Filler_NP_27.wav,SLEEPY,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
np,28,Filler_NP_28.wav,STAIRWELL,N,This is a filler item.,,,,
