experiment,condition,item,stimulus,target,contains_target,sentence,question,answer_F,answer_J,correct
filler,np,1,Filler_NP_1.wav,RESULT,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,2,Filler_NP_2.wav,BEFORE,Y,This is a filler item.,,,,
filler,np,3,Filler_NP_3.wav,CHANGE,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,4,Filler_NP_4.wav,NEVER,Y,This is a filler item.,,,,
filler,np,5,Filler_NP_5.wav,ADMIRING,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,6,Filler_NP_6.wav,CLASS,Y,This is a filler item.,,,,
filler,np,7,Filler_NP_7.wav,VISA,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,8,Filler_NP_8.wav,ADDITION,Y,This is a filler item.,,,,
filler,np,9,Filler_NP_9.wav,LIVED,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,10,Filler_NP_10.wav,HOUR,Y,This is a filler item.,,,,
filler,np,11,Filler_NP_11.wav,METHOD,Y,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,12,Filler_NP_12.wav,ACTS,Y,This is a filler item.,,,,
filler,np,13,Filler_NP_13.wav,LAW,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,14,Filler_NP_14.wav,NOTE,N,This is a filler item.,,,,
filler,np,15,Filler_NP_15.wav,GLASSES,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,16,Filler_NP_16.wav,CHECK,N,This is a filler item.,,,,
filler,np,17,Filler_NP_17.wav,COURT,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,18,Filler_NP_18.wav,CHAIR,N,This is a filler item.,,,,
filler,np,19,Filler_NP_19.wav,SUNDAY,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,20,Filler_NP_20.wav,WEIGHT,N,This is a filler item.,,,,
filler,np,21,Filler_NP_21.wav,APPLES,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,22,Filler_NP_22.wav,LATER,N,This is a filler item.,,,,
filler,np,23,Filler_NP_23.wav,SANDALS,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,24,Filler_NP_24.wav,TICKETS,N,This is a filler item.,,,,
filler,np,25,Filler_NP_25.wav,CASH,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,F
filler,np,26,Filler_NP_26.wav,LETTER,N,This is a filler item.,,,,
filler,np,27,Filler_NP_27.wav,SLEEPY,N,This is a filler item.,SAMPLE QUESTION GOES HERE.,YES,NO,J
filler,np,28,Filler_NP_28.wav,STAIRWELL,N,This is a filler item.,,,,
